"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
8,13,1.15868134529596,0.351490075725346,0.57731723083042,0.649093421932432,0.906362787135735,1.12241963434207,1.37132939045215,1.7945868789481,1.94681269950772,2020-02-29
9,14,2.71313431908673,0.535080447858022,1.76780725326509,1.89803062788085,2.33701506061542,2.67790237374323,3.05285781459774,3.65164348208592,3.85515413209089,2020-03-01
10,15,3.74214033908946,0.627247826216991,2.62030350660716,2.78147254954011,3.29965257788192,3.70712193139532,4.14368267432891,4.83166971591546,5.07229106258006,2020-03-02
11,16,4.29541306709912,0.733230299060947,2.97860711371811,3.15858272957057,3.77938327644603,4.25378544354619,4.76700127946783,5.56803287568438,5.84926460759188,2020-03-03
12,17,3.75571271956139,0.702434045044167,2.53657593158062,2.69575506186618,3.25777229063563,3.70697152753465,4.19578970560376,4.99272134367632,5.28755902267775,2020-03-04
13,18,2.90337943264833,0.539474649235793,1.99433480727672,2.11097602744001,2.52016734202112,2.85462923893901,3.22902671564067,3.86594481435037,4.11200110944288,2020-03-05
14,19,2.78192515422046,0.455469165982833,2.01323338631619,2.11391800965209,2.45972072917166,2.74062320161051,3.05507966077497,3.58976649298837,3.80238212268715,2020-03-06
15,20,2.30019268971295,0.341910215344509,1.7138707341094,1.79447329663835,2.06091283628803,2.2704733705737,2.50679009076873,2.90534819890671,3.0550850538686,2020-03-07
16,21,2.23549692656139,0.296245007217364,1.72898905531027,1.79735520530794,2.02795670711599,2.20997873526928,2.41797445454379,2.75932660142366,2.88194090732192,2020-03-08
17,22,2.37698920689318,0.279583489067594,1.89128642339943,1.95584791425463,2.18081410583318,2.3554688357561,2.54739816820641,2.86950843656313,2.98250942098964,2020-03-09
18,23,2.67149259660731,0.286356644227065,2.16809937618027,2.23751046150231,2.47060715532742,2.65357429960833,2.84705078878449,3.17091457276127,3.29049435160063,2020-03-10
19,24,2.98225339633942,0.312527377822614,2.42315082131118,2.50357541104445,2.76718080148943,2.96413743588199,3.17472459378905,3.52428412039451,3.65498965574794,2020-03-11
20,25,3.04663589746185,0.337213622088522,2.43624780329426,2.52048777048438,2.81281533556673,3.03303229672664,3.26012362124442,3.6263051381147,3.76231065330336,2020-03-12
21,26,2.93056343007121,0.341112022805007,2.32136810646043,2.4041689657178,2.69351450074113,2.91257072210896,3.14263871989784,3.52452273168431,3.66348754148192,2020-03-13
22,27,2.86525979827841,0.334749030199558,2.28124742263258,2.35270440640978,2.63289039806602,2.84498730481266,3.07125235665892,3.45467348395238,3.59285193092231,2020-03-14
23,28,2.70730911639138,0.307560467835729,2.17459029245003,2.24305014360329,2.49388264120716,2.68641991131636,2.89596625691052,3.24518035063419,3.3829301226457,2020-03-15
24,29,2.6121654538169,0.283830280069367,2.11716524336312,2.18559300797288,2.41592090650006,2.59206124357237,2.78445729675425,3.11078606342015,3.23929062060491,2020-03-16
25,30,2.35008733657026,0.245522115363783,1.92651931664184,1.98276254700078,2.17888320346926,2.33202519716925,2.49801030048411,2.78217066583144,2.89737998869899,2020-03-17
26,31,2.14154472767096,0.211162423373245,1.78008120429753,1.82460924889141,1.99446882148431,2.12525940742169,2.26828509631951,2.51328534925098,2.60934383636237,2020-03-18
27,32,1.97919212008279,0.180046210880752,1.67150807391539,1.71131720751145,1.85488375386341,1.96448897552963,2.08574092162198,2.29690171450072,2.3879059489725,2020-03-19
28,33,1.91263707327223,0.158257709095772,1.6442810715168,1.67773298429552,1.80354083912373,1.89825673867131,2.00732876779497,2.19314520185495,2.2684535686173,2020-03-20
29,34,1.7636015204863,0.133474719026772,1.53696893028251,1.56603174128729,1.67106319342552,1.75214262638508,1.84332470732665,1.99694939817749,2.06244750352459,2020-03-21
30,35,1.60781273479773,0.11274512980687,1.41515054097199,1.44047424381781,1.53078001741292,1.59848904572816,1.67499274967706,1.80561382816128,1.86075229726755,2020-03-22
31,36,1.59470503705952,0.101917049435024,1.42159893500386,1.44398444308855,1.52456005145327,1.58630107218293,1.65440126576291,1.77412282218591,1.82233840331991,2020-03-23
32,37,1.52656836730112,0.0887132587988468,1.37627433262239,1.39605147771882,1.46545661851851,1.51859678738835,1.57919687569787,1.68140667630559,1.72489314348622,2020-03-24
33,38,1.44702585342252,0.0769061155454963,1.31531604308725,1.33243311407532,1.39439876622748,1.44073856842164,1.49215745108254,1.58099760829792,1.61760401534162,2020-03-25
34,39,1.34538886485217,0.0667134003595155,1.23011518646091,1.24583641963869,1.2998070110949,1.3400697244024,1.38468932149035,1.46100159762547,1.49301946893941,2020-03-26
35,40,1.26851844299291,0.0579214763245339,1.16875182426529,1.18251409615219,1.22877366588617,1.26374219606471,1.30280350486361,1.36988283195752,1.39650245212395,2020-03-27
36,41,1.19076020764081,0.0487261066184186,1.10766283848812,1.11915789778159,1.15713364200105,1.18647061745239,1.21952406581222,1.27594412135427,1.30012664072161,2020-03-28
37,42,1.08568324602558,0.0394868324758888,1.01827748623505,1.02742046583406,1.05864824297279,1.08221740058168,1.10888581713687,1.15468528729839,1.17366454642903,2020-03-29
38,43,1.0397783898528,0.0330637672099376,0.982687872020703,0.990596304894439,1.01726276959826,1.03709247948014,1.05929353304463,1.09733915250335,1.11237954616153,2020-03-30
39,44,0.998953218509707,0.0280082557818823,0.949772802667259,0.957050340689305,0.979684737986418,0.997025346936894,1.01579875416871,1.04759860124888,1.05996339707102,2020-03-31
40,45,1.00914423828066,0.0247528393304587,0.964037766116894,0.970871743882647,0.992223597238276,1.00802717772406,1.02465592711771,1.05109724940329,1.06081438093607,2020-04-01
41,46,1.0009815842502,0.0221088810873696,0.959240522874479,0.965642000381784,0.985938143599009,1.00034402221308,1.01534062935842,1.03786718962358,1.04607030909214,2020-04-02
42,47,1.00475441353234,0.0210826383953676,0.964231129447872,0.9707383134916,0.990428592818925,1.00444496802597,1.01877763115137,1.03994333039815,1.04692002841665,2020-04-03
43,48,0.99940632839106,0.0205563293027739,0.959688718225469,0.965875796252785,0.985319373366423,0.999291940150718,1.0132285382656,1.03330240665128,1.04014897846941,2020-04-04
44,49,0.991849318150371,0.0202067822881291,0.952694241886331,0.958710915516063,0.978172328232996,0.991657500107874,1.00537751871252,1.02517535415503,1.03198941072968,2020-04-05
45,50,1.01051360688803,0.020347053802765,0.970962879642209,0.977356666037527,0.99668656902537,1.01033316462141,1.02418641037773,1.04427299705998,1.05085426779089,2020-04-06
46,51,0.962877637945755,0.0198307623020476,0.924283640096475,0.930439306760496,0.949485453777819,0.962735165323839,0.9762109230622,0.995729344069475,1.00215085449626,2020-04-07
47,52,0.981504634948234,0.0200336220185674,0.942692827792773,0.948797834615737,0.967890740593397,0.981368725163394,0.994899275489617,1.01467603850564,1.02128187982116,2020-04-08
48,53,1.00137040829846,0.0203146228034347,0.96214533168894,0.96830778642161,0.987511432948311,1.00130383865838,1.01509367728297,1.03481821947323,1.04126832073301,2020-04-09
49,54,1.0881694035083,0.0212031912652873,1.04689272808744,1.05364829101151,1.07382427042024,1.08808494195804,1.10241787767545,1.12321230109803,1.1301836226835,2020-04-10
50,55,1.09610149458759,0.0214999171132358,1.05428286367172,1.06091903292168,1.08138472067886,1.09591318839071,1.11049454713687,1.13185781301677,1.13851128732174,2020-04-11
51,56,1.11072024434605,0.0224618943393331,1.06676857140467,1.07401229720355,1.09560780092443,1.11064215085849,1.12583523445717,1.14763753780791,1.15499113310583,2020-04-12
52,57,1.1449339391855,0.0236206767725571,1.09879407275788,1.10604686999568,1.12900545863635,1.14480680433677,1.16093722476714,1.18390817447977,1.19125991977343,2020-04-13
53,58,1.15942568220509,0.0246291320988681,1.11150665895284,1.11889228983713,1.14274405620349,1.15945847589124,1.17593768700359,1.20031534945343,1.20818294738444,2020-04-14
54,59,1.20583543720121,0.0261616826199534,1.15516589578776,1.16334304765666,1.18809262957448,1.20553406291199,1.22340765777907,1.24927569155498,1.25738043813602,2020-04-15
55,60,1.15529409215421,0.0266680283990644,1.10356783977683,1.11191318459746,1.13705117843472,1.15504952806032,1.17321313615306,1.19937573676036,1.20779501055902,2020-04-16
56,61,1.18812822368576,0.0281295185395976,1.13430332423916,1.14262979469839,1.16893183970569,1.1876813008153,1.20688558124186,1.23525061642837,1.24445885912236,2020-04-17
57,62,1.22695683154961,0.028929492882538,1.17228284792553,1.18033957497234,1.20718039808997,1.22634853962744,1.24592078888246,1.27550079866745,1.28588740032776,2020-04-18
58,63,1.21170944171156,0.0291263314126888,1.15652569069746,1.16501194891729,1.19173258917987,1.21095251058175,1.2308802718153,1.26059959019651,1.2705486152234,2020-04-19
59,64,1.28186260512559,0.0313510908878944,1.2220911447532,1.23132060333619,1.26071932213263,1.28132148241075,1.30249397803236,1.33394297809663,1.34535389010637,2020-04-20
60,65,1.21593416111594,0.0316455436713681,1.15577023247547,1.16492521356332,1.19441460974655,1.21522529826919,1.23664788042209,1.26858106969135,1.27996843353058,2020-04-21
61,66,1.19588016472009,0.0322316202056303,1.1348187690819,1.14404662795236,1.17396625891722,1.19515297585381,1.21695408567256,1.24982296127618,1.2610567181119,2020-04-22
62,67,1.15036044738826,0.0308342603624029,1.09364672509856,1.10198995020061,1.12896885789286,1.14923258258611,1.17024527011215,1.20236414216147,1.21433651333326,2020-04-23
63,68,1.09654845921214,0.0279573604147674,1.04615930818149,1.05318258012996,1.07731703434928,1.09511292598499,1.1142209871761,1.14476677003194,1.15567075824434,2020-04-24
64,69,1.09644757941732,0.0253788337182426,1.05050272503454,1.0574381844495,1.07902853669706,1.09501728884176,1.11222294272687,1.14014075961033,1.15091358693203,2020-04-25
65,70,1.00174726281758,0.0214776756314731,0.962826585662925,0.96844579533899,0.987073558532908,1.00059267127824,1.01512421684781,1.03854923890551,1.04733024704267,2020-04-26
66,71,1.01593666661847,0.0197517833697946,0.979913474302494,0.985264909630781,1.00238372684207,1.01508835685098,1.02830132483813,1.04969818796024,1.05724849547973,2020-04-27
