"atraso","mean","lower","upper"
0,0.00195525410553619,0.000693827385829027,0.0050862978794468
1,0.0103984850904168,0.00631384358480848,0.0173355165864727
2,0.0223643647292563,0.0150064148909934,0.0313748489473706
3,0.0292361455098016,0.021216019090676,0.040109202369734
4,0.0364507786055948,0.0252841126636967,0.0495663838732368
5,0.0582275211092825,0.0460202682145609,0.0736954812208262
6,0.0544031978131573,0.0407671649774137,0.0687055376483415
7,0.0726790092124482,0.0572717156285247,0.090292023639548
8,0.0859715400446051,0.0695597251589557,0.104793081989101
9,0.0818000951561858,0.0655370741309855,0.100458483172211
10,0.0735830361668016,0.0589037629407043,0.0915113060831791
11,0.0635956102703238,0.0489812499763491,0.0806899977544277
12,0.0626563546332946,0.0476033901011388,0.0821690321786901
13,0.0413043889851497,0.0294443512456914,0.0578124008148763
14,0.0361489557670978,0.0247192734754704,0.0502302128627059
15,0.0339941400829879,0.0242948555393006,0.0479253478988151
16,0.0337733732127725,0.0230001423842968,0.0471580694395117
17,0.0212893492795196,0.0120130204517446,0.0355589076801276
18,0.0117682851165448,0.0057438650459934,0.0196392992398449
19,0.00957408423309409,0.00462318120826306,0.0177053384975713
20,0.0174732133514226,0.0107225330283806,0.0273620087170761
21,0.0128632120860679,0.00644467360721703,0.0238548775437976
22,0.0121132326806038,0.00646017897790052,0.0222845201297614
23,0.00703479774531097,0.00265938947754536,0.0142453915322443
24,0.010165936093912,0.00524628039110356,0.01914338178909
25,0.01378772999636,0.00760780098579532,0.0246728492413274
26,0.00002830766875728,0.00000226654294380026,0.000465216976726417
27,0.00462472949839031,0.00105400845589349,0.0138861446706511
28,0.00385366124238073,0.00015931741811923,0.0141304396643402
29,0.00838799461747821,0.00270950823794198,0.0231761009460662
30,0.000445386114407305,0.0000803729304965297,0.00488465482828292
31,0.000514912398822432,0.0000338091963856605,0.00352705880962311
32,0.0012574755306243,0.0000912632059860056,0.0103270489200304
33,0.00145313709702691,0.000326105943454559,0.00742068181745253
34,0.010537488881859,0.00498724167900642,0.0230007227540272
35,0.00967861793761509,0.0019982683872339,0.0290926522538398
36,0.00065262046664169,0.0000855310225648396,0.00908075979105028
37,0.00557153259320835,0.00145375064817912,0.0234388462498368
38,0.00282258857754562,0.000343799047589815,0.0313271237362144
39,0.00300184220062253,0.000538018479524447,0.0329105364953854
