"estimate","lower","upper","onset_date","n.reported"
86,86,86,2020-07-27,86
62,62,63,2020-07-28,62
55,55,57,2020-07-29,55
66,66,69,2020-07-30,66
61,60,64,2020-07-31,60
86,85,89,2020-08-01,85
60,59,63,2020-08-02,59
72,71,76,2020-08-03,71
62,61,66,2020-08-04,61
59,58,63,2020-08-05,58
55,53,59,2020-08-06,53
85,83,89,2020-08-07,83
60,58,65,2020-08-08,58
58,55,62,2020-08-09,55
85,82,89,2020-08-10,82
62,59,67,2020-08-11,59
79,76,84,2020-08-12,75
62,59,67,2020-08-13,58
59,55,65,2020-08-14,54
60,56,66,2020-08-15,54
65,60,71,2020-08-16,58
62,57,68,2020-08-17,54
66,60,73,2020-08-18,57
58,52,65,2020-08-19,48
69,63,77,2020-08-20,58
70,63,78,2020-08-21,57
59,52,68,2020-08-22,45
60,52,69,2020-08-23,44
63,55,73,2020-08-24,45
70,61,81,2020-08-25,48
60,51,72,2020-08-26,36
51,40,63,2020-08-27,23
62,51,76,2020-08-28,29
65,52,79,2020-08-29,26
72,58,88,2020-08-30,28
72,57,91,2020-08-31,22
70,53,91,2020-09-01,14
67,49,90,2020-09-02,6
73,53,99,2020-09-03,8
68,48,96,2020-09-04,NA
