"estimate","lower","upper","onset_date","n.reported"
104,104,104,2020-07-27,104
78,78,79,2020-07-28,78
67,67,70,2020-07-29,67
90,90,93,2020-07-30,90
79,78,83,2020-07-31,78
103,102,107,2020-08-01,102
70,69,74,2020-08-02,69
85,84,89,2020-08-03,84
73,72,78,2020-08-04,72
74,72,78,2020-08-05,72
78,76,83,2020-08-06,76
101,99,106,2020-08-07,99
75,72,80,2020-08-08,72
73,70,78,2020-08-09,70
100,97,105,2020-08-10,97
69,65,74,2020-08-11,65
93,89,98,2020-08-12,88
77,73,83,2020-08-13,72
66,62,72,2020-08-14,60
82,77,89,2020-08-15,75
79,74,86,2020-08-16,71
81,75.9750000000002,89,2020-08-17,72
86,80,94,2020-08-18,76
71,65,79,2020-08-19,60
85,79,94,2020-08-20,72
81,74,90,2020-08-21,66
74,67,84,2020-08-22,57
74,66,84,2020-08-23,55
72,63,82,2020-08-24,50
81,71,93,2020-08-25,55
74,64,87,2020-08-26,45
63,52,77,2020-08-27,30
74,62,89,2020-08-28,35
77,62,93,2020-08-29,30
88,72,107,2020-08-30,34
89,71,110.025,2020-08-31,27
87,67,112,2020-09-01,17
84,63,114,2020-09-02,9
88,64,123,2020-09-03,8
84,59,121,2020-09-04,NA
