"atraso","mean","lower","upper"
0,0.261355039146673,0.219802759856526,0.303372590702209
1,0.485212308440031,0.427020269666958,0.532314574599039
2,0.598054759908808,0.533108265398823,0.649862241275701
3,0.684661318450634,0.616168785021839,0.736228556791734
4,0.72764584865854,0.657442958616232,0.780748394458935
5,0.764200510683802,0.688431205872414,0.818003836009462
6,0.794002508992666,0.72144842020755,0.845700368911484
7,0.821943495885805,0.750508558978098,0.87197567778005
8,0.850865221848793,0.778022339528053,0.896060075802817
9,0.87541118638763,0.802860400855829,0.917606200963521
10,0.884444920486191,0.809473120593579,0.925852073916067
11,0.90665075389664,0.832081285359383,0.946247269834171
12,0.914422776782926,0.840700790674179,0.952942451729148
13,0.921940396437507,0.852821611958453,0.958480865022052
14,0.925372525059996,0.855002565222643,0.95948071822292
15,0.938141651015304,0.86374716401855,0.970826381050175
16,0.95348571216817,0.883853986278707,0.983022969240552
17,0.964698686594951,0.900730563576162,0.992042892100334
18,0.970197652540264,0.901772034003406,0.997758784405225
19,0.972444129909771,0.903253554172619,0.997844243203024
20,0.972447681125424,0.90325355911383,0.997865241681036
21,0.975907602806731,0.903566550242307,0.997894617583157
22,0.976557580450012,0.903594213956758,0.998478736422394
23,0.978177347063657,0.905889151123259,0.998650966939616
24,0.983823005706775,0.920709736469071,0.999936723758021
25,0.983823869692961,0.920714892205162,0.999936726132812
26,0.987328168332989,0.922634904828062,0.999971483092795
27,0.988704777972113,0.931461125224855,0.999996379044224
28,0.989671777714818,0.931470813953682,0.999999469487892
29,0.993373064976038,0.941515517614717,0.999999952065471
30,0.995919365360709,0.947534030154006,0.999999952506477
31,0.996429764925672,0.948953564536479,0.999999999916976
32,0.996429765060435,0.948953564693591,0.999999999957534
33,0.996429765065821,0.94895356469363,0.999999999982133
34,0.996429765065859,0.948953564693631,0.999999999983068
35,0.99642976508873,0.948953564693632,0.999999999983187
36,0.999999999999801,0.99999999999879,0.999999999999994
37,0.999999999999997,0.999999999999984,1
38,1,0.999999999999999,1
39,1,0.999999999999999,1
