"atraso","mean","lower","upper"
0,0.249524093616025,0.217670675640329,0.283680660464239
1,0.204036328700882,0.173597429969373,0.237939121079283
2,0.110917036423304,0.0881977678730663,0.13794939625795
3,0.0891246125125159,0.0690639295000158,0.113981718497928
4,0.0452799692301508,0.0301768399421729,0.0643837621484961
5,0.0472815827994991,0.0315375044495028,0.0661932027909499
6,0.0341807156448429,0.0217347780050133,0.0515695162658444
7,0.0264977161712698,0.0167172850544781,0.0402609947408647
8,0.0314560503710584,0.0205381094624308,0.0484546956232514
9,0.0159434363781802,0.00796066689078649,0.0288764448047068
10,0.00529915418234196,0.00202471977819911,0.0144192136368691
11,0.0263288425684428,0.0145868346163699,0.0426468914653317
12,0.0170473041829679,0.0091265396869429,0.0298865720605199
13,0.00789128380463256,0.00255335443761349,0.0183317073580411
14,0.00160621688791578,0.000330401019478877,0.00874001788624618
15,0.0167394259286995,0.00801804223409769,0.0306385235372407
16,0.0140696623675106,0.00658923597198465,0.0284347674190505
17,0.0114632927312194,0.00507824201536789,0.0258090147473758
18,0.00440673069111844,0.000406754389949347,0.0146793642869943
19,0.0044535091782531,0.000965156703428255,0.0151693638494378
20,0.00270413236657929,0.000469158937411403,0.0124601293097878
21,0.00297509679794997,0.000522499767775448,0.0107164774841751
22,0.000429325303335908,0.0000912810199580577,0.00629541800879649
23,0.0000153403472163111,0.00000251264645285482,0.000238853414344853
24,0.000221136218637384,0.0000235934016358099,0.00527233178566603
25,0.00313988922646628,0.000376933587720533,0.013678208060244
26,0.00129865243920006,0.000134152387951534,0.00750295422549503
27,0.0000000000152538470945552,0.000000000000341039150383907,0.000000000218395335781912
28,0.000000352947670522958,0.0000000214109720010319,0.00000778052483153956
29,0.000935961333855798,0.0000101218547807094,0.0104168343814079
30,0.00000759343556227334,0.0000000525487753877886,0.000446921189400848
31,0.0000000182552650991543,0.000000000127985802950478,0.00000482509917729568
32,0.00000000137400277619383,0.0000000000440354443049228,0.000000117192857502797
33,0.000000000551877656455836,0.00000000000060762556285124,0.0000000316947029478493
34,4.6164188035806e-16,8.1005144134985e-19,0.000000000000344546007439515
35,0.000000000000637325707168882,0.0000000000000685137369092243,0.00000000000616357456286277
36,0.00000000080659711189176,0.0000000000000229917349966832,0.0000343051053540985
37,5.09018314633806e-17,6.47616172596092e-18,6.70559369678316e-16
38,3.10809769311286e-18,6.63894286599473e-21,5.94503857356715e-16
39,3.83233242403988e-20,4.18590063348174e-22,7.61130573238835e-18
