"atraso","mean","lower","upper"
0,0.00167095034958498,0.000129746091579894,0.00562748737532866
1,0.0103552281572344,0.00621744429746565,0.0167290695274045
2,0.0337909854510613,0.0241468373414173,0.0436266099759558
3,0.0633333534177726,0.0520489361827554,0.0762387545786455
4,0.0980214899688042,0.0827188642675797,0.114968506325777
5,0.158519165556653,0.138134919177102,0.179459957906221
6,0.217113801446351,0.194421869639878,0.241123170907731
7,0.293746993934541,0.26620338175009,0.320486903890794
8,0.380181867730494,0.351761723299822,0.407446561388952
9,0.459386627593636,0.428287204527243,0.489420606615197
10,0.532873672912614,0.500377238862471,0.563925113079823
11,0.599761371820605,0.566534506134666,0.62900008242201
12,0.661612926368589,0.627542049277525,0.69431384513509
13,0.699622619080524,0.666401588967651,0.729506683282588
14,0.742236964077273,0.710661469736926,0.771906923687936
15,0.779676334063356,0.750314103645671,0.808433918481396
16,0.812097636240863,0.783602319550582,0.841306756094988
17,0.834238170710646,0.807987260918984,0.862178858488433
18,0.848993369271152,0.822006214525535,0.87470028709329
19,0.860115575978083,0.832368433728143,0.884121906448325
20,0.87884887964895,0.851777368207692,0.902661768758078
21,0.888977501688107,0.864176325255952,0.911541484546886
22,0.900527569343441,0.875783583410437,0.924507804170936
23,0.91037289385317,0.884322486342105,0.935109252175913
24,0.919667422747398,0.892891327072631,0.944965217233279
25,0.932634395973975,0.906328637775622,0.959053885744768
26,0.937107256236996,0.913546132492364,0.964984153309127
27,0.942406909474203,0.920004934091257,0.966600786441169
28,0.948482446318469,0.923639513017548,0.972856229386165
29,0.959733255762834,0.932040748140829,0.978933545654989
30,0.960110591060745,0.932622892826354,0.979411443128273
31,0.961930123676579,0.934799011961176,0.981438864007678
32,0.961977106742086,0.934803809441105,0.981545462369322
33,0.964811068665076,0.93623358457787,0.982148927628479
34,0.974712723726592,0.945680655273976,0.989177832777
35,0.983783969187776,0.95884005562304,0.995499235540572
36,0.984130792389994,0.958997018535932,0.99668898660414
37,0.991271972030382,0.973938825381262,0.998149294567417
38,0.997838728542502,0.994366572813032,0.999814510123299
39,1,1,1
