"estimate","lower","upper","onset_date","n.reported"
103,103,103,2020-07-27,103
78,78,78,2020-07-28,78
67,67,69,2020-07-29,67
90,89,92,2020-07-30,89
77,76,80,2020-07-31,76
103,102,106,2020-08-01,102
69,67,72,2020-08-02,67
85,83,88,2020-08-03,83
73,71,76,2020-08-04,71
74,72,78,2020-08-05,72
78,76,82,2020-08-06,76
102,99,106,2020-08-07,99
75,72,79,2020-08-08,72
73,70,78,2020-08-09,70
101,97,105,2020-08-10,97
68,65,73,2020-08-11,64
93,89,98,2020-08-12,88
77,73,82,2020-08-13,72
65,61,71,2020-08-14,59
81,76,87,2020-08-15,74
79,74,86,2020-08-16,71
79,73,86,2020-08-17,70
85,79,92,2020-08-18,75
71,65,79,2020-08-19,60
82,75,90,2020-08-20,69
78,71,87,2020-08-21,63
71,63,80,2020-08-22,54
74,66,84,2020-08-23,55
71,63,82,2020-08-24,50
80,71,92,2020-08-25,55
74,63,85,2020-08-26,45
61,50,75,2020-08-27,29
71,59,86,2020-08-28,33
74,60,89,2020-08-29,29
85,70,103,2020-08-30,33
86,70,106,2020-08-31,27
83,65,105,2020-09-01,16
81,62,105,2020-09-02,8
85,64,113,2020-09-03,8
81,58,111,2020-09-04,NA
