"mean","lower","upper"
3.86648745608805,3.95386626365097,3.80170811966254
4.5074760191261,4.61764191898747,4.42274193886931
5.17728493125064,5.31231874645171,5.06897799560422
5.89484550501782,6.04269571467844,5.78058120003368
6.61010391039837,6.77428573937639,6.49790000474159
7.31788921686323,7.48790760190841,7.20748182361996
8.02197889932614,8.2511933458508,7.89334967543469
8.91647275113366,9.18602675498405,8.74642062470486
9.90978563689295,10.2070242984668,9.70758061535889
10.9273069114967,11.3073863962384,10.7258203217164
12.2721185883442,12.793076278962,11.9725019917967
13.9137935122821,14.5609912039148,13.5699795040953
15.9246695336517,17.0472731789864,15.4322609781301
19.5351622633089,21.4953103133106,18.6122825481925
26.0302673224016,30.5532092711619,24.3183077379198
