"mean","lower","upper"
NA,0.0291740716317438,NA
0.196708926982716,0.252087068537996,0.144384112818066
0.418067813892329,0.475000065444248,0.361244783445812
0.639426700801943,0.6979130623505,0.578105454073557
0.860785587711556,0.920826059256752,0.794966124701303
1.15640340431984,1.27287228827866,1.02349454160944
1.57787159982269,1.69604731931466,1.45429949829956
1.99933979532554,2.17487021604351,1.88510445498968
2.60935682775243,2.7955651518826,2.44240977950411
3.32037377834021,3.57964117125092,3.0684466248507
4.25778376079166,4.57353341137346,3.97159712013074
5.5289706558156,5.98027185505803,5.07099756448911
7.48832305714901,8.11382047338314,6.82046713813285
10.6076934707435,11.6000813114424,9.67025390076435
15.9365779642269,18.5516275862782,14.8357509166497
