"municipio","DRS","DRS.nome","id"
"Adamantina",9,"Marília","350010"
"Adolfo",15,"São José do Rio Preto","350020"
"Aguaí",14,"São João da Boa Vista","350030"
"Águas da Prata",14,"São João da Boa Vista","350040"
"Águas de Lindóia",7,"Campinas","350050"
"Águas de Santa Bárbara",6,"Bauru","350055"
"Águas de São Pedro",10,"Piracicaba","350060"
"Agudos",6,"Bauru","350070"
"Alambari",16,"Sorocaba","350075"
"Alfredo Marcondes",11,"Presidente Prudente","350080"
"Altair",5,"Barretos","350090"
"Altinópolis",13,"Ribeirão Preto","350100"
"Alto Alegre",2,"Araçatuba","350110"
"Alumínio",16,"Sorocaba","350115"
"Álvares Florence",15,"São José do Rio Preto","350120"
"Álvares Machado",11,"Presidente Prudente","350130"
"Álvaro de Carvalho",9,"Marília","350140"
"Alvinlândia",9,"Marília","350150"
"Americana",7,"Campinas","350160"
"Américo Brasiliense",3,"Araraquara","350170"
"Américo de Campos",15,"São José do Rio Preto","350180"
"Amparo",7,"Campinas","350190"
"Analândia",10,"Piracicaba","350200"
"Andradina",2,"Araçatuba","350210"
"Angatuba",16,"Sorocaba","350220"
"Anhembi",6,"Bauru","350230"
"Anhumas",11,"Presidente Prudente","350240"
"Aparecida",17,"Taubaté","350250"
"Aparecida d'Oeste",15,"São José do Rio Preto","350260"
"Apiaí",16,"Sorocaba","350270"
"Araçariguama",16,"Sorocaba","350275"
"Araçatuba",2,"Araçatuba","350280"
"Araçoiaba da Serra",16,"Sorocaba","350290"
"Aramina",8,"Franca","350300"
"Arandu",6,"Bauru","350310"
"Arapeí",17,"Taubaté","350315"
"Araraquara",3,"Araraquara","350320"
"Araras",10,"Piracicaba","350330"
"Arco-Íris",9,"Marília","350335"
"Arealva",6,"Bauru","350340"
"Areias",17,"Taubaté","350350"
"Areiópolis",6,"Bauru","350360"
"Ariranha",15,"São José do Rio Preto","350370"
"Artur Nogueira",7,"Campinas","350380"
"Arujá",1,"Grande São Paulo","350390"
"Aspásia",15,"São José do Rio Preto","350395"
"Assis",9,"Marília","350400"
"Atibaia",7,"Campinas","350410"
"Auriflama",2,"Araçatuba","350420"
"Avaí",6,"Bauru","350430"
"Avanhandava",2,"Araçatuba","350440"
"Avaré",6,"Bauru","350450"
"Bady Bassitt",15,"São José do Rio Preto","350460"
"Balbinos",6,"Bauru","350470"
"Bálsamo",15,"São José do Rio Preto","350480"
"Bananal",17,"Taubaté","350490"
"Barão de Antonina",6,"Bauru","350500"
"Barbosa",2,"Araçatuba","350510"
"Bariri",6,"Bauru","350520"
"Barra Bonita",6,"Bauru","350530"
"Barra do Chapéu",16,"Sorocaba","350535"
"Barra do Turvo",12,"Registro","350540"
"Barretos",5,"Barretos","350550"
"Barrinha",13,"Ribeirão Preto","350560"
"Barueri",1,"Grande São Paulo","350570"
"Bastos",9,"Marília","350580"
"Batatais",13,"Ribeirão Preto","350590"
"Bauru",6,"Bauru","350600"
"Bebedouro",5,"Barretos","350610"
"Bento de Abreu",2,"Araçatuba","350620"
"Bernardino de Campos",9,"Marília","350630"
"Bertioga",4,"Baixada Santista","350635"
"Bilac",2,"Araçatuba","350640"
"Birigui",2,"Araçatuba","350650"
"Biritiba Mirim",1,"Grande São Paulo","350660"
"Boa Esperança do Sul",3,"Araraquara","350670"
"Bocaina",6,"Bauru","350680"
"Bofete",6,"Bauru","350690"
"Boituva",16,"Sorocaba","350700"
"Bom Jesus dos Perdões",7,"Campinas","350710"
"Bom Sucesso de Itararé",16,"Sorocaba","350715"
"Borá",9,"Marília","350720"
"Boracéia",6,"Bauru","350730"
"Borborema",3,"Araraquara","350740"
"Borebi",6,"Bauru","350745"
"Botucatu",6,"Bauru","350750"
"Bragança Paulista",7,"Campinas","350760"
"Braúna",2,"Araçatuba","350770"
"Brejo Alegre",2,"Araçatuba","350775"
"Brodowski",13,"Ribeirão Preto","350780"
"Brotas",6,"Bauru","350790"
"Buri",16,"Sorocaba","350800"
"Buritama",2,"Araçatuba","350810"
"Buritizal",8,"Franca","350820"
"Cabrália Paulista",6,"Bauru","350830"
"Cabreúva",7,"Campinas","350840"
"Caçapava",17,"Taubaté","350850"
"Cachoeira Paulista",17,"Taubaté","350860"
"Caconde",14,"São João da Boa Vista","350870"
"Cafelândia",6,"Bauru","350880"
"Caiabu",11,"Presidente Prudente","350890"
"Caieiras",1,"Grande São Paulo","350900"
"Caiuá",11,"Presidente Prudente","350910"
"Cajamar",1,"Grande São Paulo","350920"
"Cajati",12,"Registro","350925"
"Cajobi",5,"Barretos","350930"
"Cajuru",13,"Ribeirão Preto","350940"
"Campina do Monte Alegre",16,"Sorocaba","350945"
"Campinas",7,"Campinas","350950"
"Campo Limpo Paulista",7,"Campinas","350960"
"Campos do Jordão",17,"Taubaté","350970"
"Campos Novos Paulista",9,"Marília","350980"
"Cananéia",12,"Registro","350990"
"Canas",17,"Taubaté","350995"
"Cândido Mota",9,"Marília","351000"
"Cândido Rodrigues",3,"Araraquara","351010"
"Canitar",9,"Marília","351015"
"Capão Bonito",16,"Sorocaba","351020"
"Capela do Alto",16,"Sorocaba","351030"
"Capivari",10,"Piracicaba","351040"
"Caraguatatuba",17,"Taubaté","351050"
"Carapicuíba",1,"Grande São Paulo","351060"
"Cardoso",15,"São José do Rio Preto","351070"
"Casa Branca",14,"São João da Boa Vista","351080"
"Cássia dos Coqueiros",13,"Ribeirão Preto","351090"
"Castilho",2,"Araçatuba","351100"
"Catanduva",15,"São José do Rio Preto","351110"
"Catiguá",15,"São José do Rio Preto","351120"
"Cedral",15,"São José do Rio Preto","351130"
"Cerqueira César",6,"Bauru","351140"
"Cerquilho",16,"Sorocaba","351150"
"Cesário Lange",16,"Sorocaba","351160"
"Charqueada",10,"Piracicaba","351170"
"Chavantes",9,"Marília","355720"
"Clementina",2,"Araçatuba","351190"
"Colina",5,"Barretos","351200"
"Colômbia",5,"Barretos","351210"
"Conchal",10,"Piracicaba","351220"
"Conchas",6,"Bauru","351230"
"Cordeirópolis",10,"Piracicaba","351240"
"Coroados",2,"Araçatuba","351250"
"Coronel Macedo",6,"Bauru","351260"
"Corumbataí",10,"Piracicaba","351270"
"Cosmópolis",7,"Campinas","351280"
"Cosmorama",15,"São José do Rio Preto","351290"
"Cotia",1,"Grande São Paulo","351300"
"Cravinhos",13,"Ribeirão Preto","351310"
"Cristais Paulista",8,"Franca","351320"
"Cruzália",9,"Marília","351330"
"Cruzeiro",17,"Taubaté","351340"
"Cubatão",4,"Baixada Santista","351350"
"Cunha",17,"Taubaté","351360"
"Descalvado",3,"Araraquara","351370"
"Diadema",1,"Grande São Paulo","351380"
"Dirce Reis",15,"São José do Rio Preto","351385"
"Divinolândia",14,"São João da Boa Vista","351390"
"Dobrada",3,"Araraquara","351400"
"Dois Córregos",6,"Bauru","351410"
"Dolcinópolis",15,"São José do Rio Preto","351420"
"Dourado",3,"Araraquara","351430"
"Dracena",11,"Presidente Prudente","351440"
"Duartina",6,"Bauru","351450"
"Dumont",13,"Ribeirão Preto","351460"
"Echaporã",9,"Marília","351470"
