"estimate","lower","upper","onset_date","n.reported"
366,366,366,2020-07-14,366
344,344,344,2020-07-15,344
346,346,346,2020-07-16,346
369,369,369,2020-07-17,369
360,360,360,2020-07-18,360
288,288,288,2020-07-19,288
345,345,345,2020-07-20,345
348,348,348,2020-07-21,348
337,337,337,2020-07-22,337
298,298,298,2020-07-23,298
304,304,304,2020-07-24,304
342,342,342,2020-07-25,342
285,285,286,2020-07-26,285
311,310,314,2020-07-27,310
300,299,304,2020-07-28,299
307,305,312,2020-07-29,305
294,291,300,2020-07-30,291
268,265,274,2020-07-31,264
289,284,295,2020-08-01,283
281,277,288,2020-08-02,274
296,291,303,2020-08-03,287
285,279,293,2020-08-04,274
311,303,319,2020-08-05,296
304,296,313,2020-08-06,287
318,310,328,2020-08-07,298
290,281,300,2020-08-08,268
271,261,282,2020-08-09,246
294,284,306,2020-08-10,266
244,233,257,2020-08-11,213
295,283,308,2020-08-12,258
258,246,273,2020-08-13,217
274,260,289,2020-08-14,226
287,273,304,2020-08-15,232
282,266,300,2020-08-16,218
279,262,298,2020-08-17,205
264,245,285,2020-08-18,178
280,259,303,2020-08-19,179
256,233,282,2020-08-20,139
221,193,249,2020-08-21,83
225,187,262,2020-08-22,43
