"atraso","mean","lower","upper"
0,0.00840196038302357,0.00563608550975682,0.0129120797911918
1,0.0489519715147435,0.0408260491128813,0.0587749336528137
2,0.0526737323884375,0.0446981262199952,0.06195966424365
3,0.0681556930575872,0.0592897509367813,0.0789825002254883
4,0.0807812022992572,0.0695337566075546,0.0916601927625042
5,0.0801616892195454,0.0707173104083423,0.0910156730268646
6,0.067697741833493,0.0580882403217814,0.0789423567684493
7,0.0738160550995429,0.0635087809561081,0.0854666199064718
8,0.0740826509983183,0.0637030363297926,0.0854432509373992
9,0.0541144299100724,0.0445571286635347,0.0642714450258403
10,0.0480817231034351,0.0396295147773555,0.0585705027488246
11,0.0512443151278829,0.0412853270116517,0.0625072838451896
12,0.0367225454795562,0.0294844295824667,0.0454683742305515
13,0.025894986444794,0.0189953292002916,0.0340192135834031
14,0.0256615302399051,0.0197845369256105,0.0340151278318215
15,0.0276652297398014,0.0199450983724139,0.0375952045165207
16,0.0249108283475546,0.0187091419036995,0.032134412716225
17,0.0155927174752278,0.0108520500140826,0.0213040528241844
18,0.0134771492912504,0.00933495828739197,0.0192471668285205
19,0.00943588359749024,0.00463491396950682,0.0169445431208225
20,0.0176671416507013,0.010443804938626,0.0245793021162123
21,0.0156799705846233,0.0101257165818022,0.0229994300814018
22,0.0103979076229116,0.00609854891187389,0.0172839329573427
23,0.00531893490882251,0.00233542160211488,0.0103974198232482
24,0.0109485704737785,0.00656454175098777,0.0177159673190947
25,0.00682974591999409,0.00373073593278504,0.0126053069096167
26,0.00136202724352717,0.000456550685405471,0.00368913798371953
27,0.00372086329615039,0.00059351551535562,0.0100417796328424
28,0.00162985966860243,0.000424539938153938,0.00485547772109156
29,0.00118129491052933,0.000261581044586643,0.004233860094639
30,0.00553190250725888,0.00187213033051896,0.0139183966696908
31,0.00252262259199775,0.00086912035429809,0.0054706792243548
32,0.0018906280145363,0.000515020539177229,0.00902603462928753
33,0.00296991950669595,0.00104031169405284,0.00913490885426441
34,0.00119312472344444,0.000236764134166082,0.00735184924611099
35,0.00282597871480896,0.00048638469226546,0.00878103009181799
36,0.000219070716910756,0.0000225602676193921,0.00171859024397558
37,0.000724400206567181,0.0000758866704377532,0.00387811792738454
38,0.000148653076049512,0.0000186681639470789,0.00353893843545144
39,0.00474330658686107,0.00155519044126708,0.0132146498479491
