"atraso","mean","lower","upper"
0,0.236510916573378,0.224883229355036,0.250362929598148
1,0.203932050088009,0.192658321211142,0.216336485491564
2,0.113973025465449,0.105618662997088,0.12423422455256
3,0.0857826324817229,0.0772145370493635,0.0949669497580882
4,0.0581048298554776,0.0516873459548679,0.0646079649700967
5,0.044107015493705,0.0383085525663193,0.051387046644751
6,0.0414764642371649,0.0359109942091496,0.0480098473987459
7,0.0301676923131846,0.0247091191749625,0.0357163548151053
8,0.0224497908799884,0.0183915307211121,0.0270096475890757
9,0.0211769028313826,0.0160082203857082,0.0261620787322482
10,0.0145589361554092,0.011065548064776,0.019146396060879
11,0.0160124273934989,0.0122732293759371,0.0218819161061756
12,0.0125442620428918,0.00903102073580426,0.0171473004133606
13,0.00974698453722139,0.00697902101017357,0.0132031196304061
14,0.0105895688828953,0.00747451946342211,0.0139048972105467
15,0.0113950477180441,0.0075151923540105,0.0155822391255786
16,0.00981176648384706,0.00677114535244729,0.0134255734473014
17,0.0060339513549894,0.003505578215241,0.00915083691279776
18,0.00899143679875259,0.00486087608268034,0.0123589289390999
19,0.00935069556436733,0.00661092036699033,0.0136637727509442
20,0.00478550967365777,0.0029267492385534,0.00784956824118831
21,0.00598854767765016,0.00458955821385066,0.00816574840769514
22,0.00467412620605324,0.00238515109634587,0.00906299050348145
23,0.00258839595655679,0.000773013300263365,0.00686859296003015
24,0.00211703773414103,0.000219710484076372,0.00671475662538136
25,0.00584014709274503,0.0030225564237553,0.00966957223099446
26,0.00141798444125078,0.000700297361513846,0.00265864588849257
27,0.000290124230264745,0.0000256760788946942,0.00351872761280504
28,0.0000263342242219949,0.0000036537493255671,0.000197105079199112
29,0.00000388800449913694,0.0000000705715392790261,0.000495098852167261
30,0.00000970177552983579,0.000000768871057938655,0.000405626584954104
31,0.000000259616781880037,0.00000000599312596178705,0.0000425662191126197
32,0.00000000905510299424902,0.00000000111240809009219,0.0000000225750893841557
33,0.0000000612250987360046,0.00000000155862113443946,0.00000185605436167475
34,0.000000000122817713163741,0.0000000000269590939903109,0.00000000102070768871294
35,0.0000000000000439877822906767,0.000000000000020963462151268,0.00000000000011488822753435
36,0.000000000000913848410003854,0.0000000000000948950845987455,0.00000000000693535685180676
37,1.55134505624715e-16,3.07870376473271e-17,4.21747287529946e-16
38,6.8608459398648e-17,3.02059744902875e-17,1.70403007629402e-16
39,1.25318474720625e-16,2.86103305861477e-17,9.32977737248765e-16
