"atraso","mean","lower","upper"
0,0.0013010165681313,0.000431579488725242,0.00348755350821844
1,0.00921358601037897,0.00573795025406871,0.0136555482426513
2,0.0228296443462541,0.0158566481139512,0.0324116766568558
3,0.0288074346600311,0.0216483415042986,0.0381992536670951
4,0.0347093746336115,0.0246618927753068,0.0458193736562914
5,0.0588577675875618,0.0450179293797081,0.0721360332272688
6,0.0574327988099018,0.045528574212578,0.0707854446999105
7,0.0774225449765512,0.0629171964058806,0.0927881605501263
8,0.0856806850271667,0.0712401385441625,0.104004810917491
9,0.0779713820778207,0.063082744885562,0.0942785527638813
10,0.0737760202380344,0.0597589031626802,0.0905345320710691
11,0.06522418590418,0.0521775179877331,0.0810610317774049
12,0.0601776674055472,0.0475811200536248,0.0745085502072708
13,0.0384487886994996,0.0276690057419102,0.0512562735012326
14,0.04133241462529,0.0290062033019786,0.0557870719962379
15,0.0367548518323357,0.0259249922286398,0.0497786927939603
16,0.0320601582535719,0.0221669304648096,0.0431275791458437
17,0.021897658682526,0.0148385182513558,0.0317918523426071
18,0.0144153811141395,0.00760799340513426,0.0232312255795612
19,0.0109437723263827,0.00634520715666954,0.0192119459633536
20,0.0168211226406757,0.0107351237206797,0.0259331828835862
21,0.0100176730105688,0.00538137917265948,0.0175477819372585
22,0.011017543810158,0.00588548636879178,0.0188394891086852
23,0.00831447035305789,0.00377810014391944,0.0163974673227144
24,0.0108992788730046,0.00472151801869648,0.0210049714595159
25,0.0109793663348495,0.00525789434192444,0.0201545728599439
26,0.00260859330371446,0.000702692644809606,0.00944909847665018
27,0.00549873877801947,0.00180423654048525,0.0140499913767688
28,0.00511930714777002,0.00153001277270495,0.0136971095227301
29,0.00951176806404649,0.00471637645321497,0.018628348476632
30,0.0018225432663378,0.000226572238752811,0.00876108098606064
31,0.00057169524917321,0.0000790955685584563,0.0033475351338951
32,0.000259400231566535,0.0000182172800829064,0.00490689152205872
33,0.00193297957970789,0.000343898153031369,0.00955043588971466
34,0.00754804278403527,0.00122704917857089,0.0236411882709012
35,0.0120392584368286,0.0048613846699246,0.0336247925386346
36,0.0000909890304601883,0.0000189641324856525,0.000418362001202707
37,0.00480500860457603,0.000278529302454266,0.0310511896454459
38,0.000163728523800329,0.00000979316936096641,0.00143140684858207
39,0.00177923005364043,0.000119367640071318,0.0272111815085991
