"atraso","mean","lower","upper"
0,0.258625959869209,0.241381192724967,0.276520396066481
1,0.489939524249939,0.470419040372942,0.510009672519923
2,0.606711331536573,0.590090506924741,0.626744266448872
3,0.687023876041768,0.669641393867602,0.706801419525449
4,0.74074940170005,0.722833327757893,0.758883092251713
5,0.77979580397593,0.761785995420159,0.797138210156232
6,0.810986094810878,0.793563816086151,0.829232671823217
7,0.838164614121041,0.821627815568028,0.855376289176783
8,0.857372887424802,0.84251781035217,0.875464343073815
9,0.881152420232127,0.865510849312188,0.896640390457665
10,0.890611758527449,0.875976985978293,0.904910029179447
11,0.907291022911651,0.891134020093359,0.920293037960556
12,0.918008549733732,0.903968811502838,0.930590911842214
13,0.927667439058758,0.913436681029323,0.939844092929803
14,0.938061953025136,0.924646156480883,0.948779168600968
15,0.946447971567091,0.932488186225389,0.956774630603604
16,0.957436307932466,0.94433249084343,0.966760040843187
17,0.962827535410268,0.950049524533548,0.972143414507325
18,0.970551170746491,0.956996668077909,0.979664424580737
19,0.976951017941373,0.964517643280101,0.985173426189625
20,0.978578408323558,0.96552934166207,0.985767729487385
21,0.981464000654157,0.968030836875538,0.988620865101558
22,0.984999323738778,0.971082033857093,0.99188264093207
23,0.988689744809096,0.975027221424937,0.995292397554876
24,0.992477869852695,0.980007734954316,0.998711455564222
25,0.995626444345647,0.987043826524919,0.999993208278071
26,0.995907903474981,0.987211553401155,0.999997781778153
27,0.995908684701289,0.987211760183596,0.99999779593315
28,0.995908772792116,0.987211784377223,0.999997797546986
29,0.995928742480622,0.987230198590559,0.999999037966492
30,0.999727967432156,0.998007549146173,0.999999949017478
31,0.999999948834599,0.999999879998791,0.999999991107412
32,0.99999999963455,0.999999999175208,0.999999999868675
33,0.999999999982302,0.99999999990684,0.999999999999795
34,0.999999999999952,0.999999999999889,0.99999999999998
35,0.999999999999976,0.999999999999906,0.999999999999997
36,1,0.999999999999999,1
37,1,0.999999999999999,1
38,1,0.999999999999999,1
39,1,0.999999999999999,1
