"estimate","lower","upper","onset_date","n.reported"
40,40,40,2020-07-22,40
52,52,55,2020-07-23,52
50,50,53,2020-07-24,50
49,48,52,2020-07-25,48
40,39,43,2020-07-26,39
54,53,58,2020-07-27,53
41,40,45,2020-07-28,40
36,34,40,2020-07-29,34
51,49,55,2020-07-30,49
43,41,47,2020-07-31,41
45,43,49,2020-08-01,43
30,28,34,2020-08-02,28
46,44,51,2020-08-03,44
33,31,38,2020-08-04,31
39,37,44,2020-08-05,37
40,37,45,2020-08-06,37
49,46,54,2020-08-07,46
32,28,37,2020-08-08,28
35,32,40,2020-08-09,31
48,44,53,2020-08-10,43
34,30,40,2020-08-11,29
44,39,49,2020-08-12,38
32,28,38,2020-08-13,26
30,26,37,2020-08-14,24
38,33,44,2020-08-15,30
40,35,48,2020-08-16,31
36,31,44,2020-08-17,26
37,30,45,2020-08-18,25
38,31,47,2020-08-19,25
28,21,37,2020-08-20,14
31,23,40.0249999999996,2020-08-21,15
28,19,38,2020-08-22,11
23,14,35,2020-08-23,5
21,10,34,2020-08-24,2
19,8,33.0249999999996,2020-08-25,NA
24,11,39,2020-08-26,3
21,8,37,2020-08-27,NA
22,8,39,2020-08-28,NA
22,8,40,2020-08-29,NA
23,8,41,2020-08-30,NA
