"atraso","mean","lower","upper"
0,0.267341934243279,0.221079994228599,0.312131294768889
1,0.492590965016668,0.43348863559891,0.549148669970135
2,0.599077602637101,0.537290361003831,0.655084724643409
3,0.687090572141256,0.623215826155527,0.743906211712796
4,0.732190751538102,0.664856317997181,0.786393581850052
5,0.764922205311905,0.698330604041819,0.818263251640927
6,0.788396879833008,0.721952456004085,0.839839288037293
7,0.809918952664185,0.746908877789936,0.859015871635955
8,0.840817941695992,0.780233461646382,0.891078344995387
9,0.861424809390422,0.80223467577341,0.907400401624886
10,0.870209085782023,0.809214918905595,0.914264359010781
11,0.890356666643679,0.835949533331094,0.929815063712891
12,0.900831429629331,0.843948834925593,0.940344395479421
13,0.904549414848037,0.850173709214293,0.943739591429559
14,0.908349371153459,0.851242423846725,0.946533013410925
15,0.921863458556272,0.858486483217627,0.960146539242012
16,0.938858383838505,0.872978030072651,0.973580479990181
17,0.949218247422478,0.883827038643613,0.98174361271359
18,0.955369308296335,0.886614837907761,0.988460066168796
19,0.959137770519003,0.888268216533968,0.994111011093554
20,0.959642634543591,0.888275892766845,0.994605401156016
21,0.963997070996974,0.889028412881741,0.997365545113228
22,0.964607308984763,0.889034088851823,0.997532276523866
23,0.965302460097327,0.892283683936417,0.997922050501466
24,0.973225076811842,0.892517741212213,0.999979646459505
25,0.973261218312701,0.892525651740627,0.999983023256201
26,0.977622139841543,0.896984374179864,0.999999914157445
27,0.977627553508698,0.896991804331893,0.999999918201997
28,0.977627553543267,0.896991804463372,0.999999918377068
29,0.979223524521565,0.90347465435752,0.999999999315844
30,0.981121272887434,0.908470335350817,0.999999999786736
31,0.987338564223342,0.909957916893722,0.999999999853022
32,0.987338565507415,0.909957916940692,0.999999999936049
33,0.987338565507666,0.909957916940897,0.999999999937143
34,0.987338565516816,0.909957916942253,0.99999999995263
35,0.987338565522808,0.909957916955454,0.999999999953188
36,1,0.999999999999998,1
37,1,1,1
38,1,1,1
39,1,1,1
