"atraso","mean","lower","upper"
0,0.00848717203040539,0.00537143830938282,0.0121275477719817
1,0.0567675287576926,0.0484594309007476,0.0658102827268719
2,0.110987609565027,0.0988888549168283,0.123744352180074
3,0.179552328561757,0.16538779453915,0.193921247547492
4,0.264636789703154,0.246509518071783,0.283619417249141
5,0.346913932981447,0.32661110545374,0.368203024057879
6,0.414209699585537,0.392076277675365,0.436270494676391
7,0.49193618697034,0.46874214646565,0.515488767005592
8,0.563698284127888,0.539812371919591,0.586807702210878
9,0.616622114437902,0.591567408069982,0.639495879333056
10,0.661507467399798,0.636819205610293,0.684360011827486
11,0.715210471451889,0.69203803320127,0.738430670713232
12,0.752824626693746,0.728724108030552,0.776563525925632
13,0.77994600436056,0.754612797091265,0.803691767347582
14,0.807860068590086,0.780033932998595,0.83199509095916
15,0.833877283582703,0.806819218266723,0.856559727861923
16,0.857303353283597,0.831242037261345,0.878680055252372
17,0.874136777248492,0.848907036638842,0.895773512047621
18,0.889713597644211,0.865852571056991,0.911942350737864
19,0.898668442411942,0.87527616915896,0.919868268204063
20,0.914040986257898,0.890619763029494,0.934216511559655
21,0.927043009599517,0.904277562973924,0.946013120461463
22,0.939194738424602,0.916496930993775,0.958578158799747
23,0.943294352020999,0.921081559996753,0.961696917101754
24,0.954735101219159,0.933829647702709,0.970373679294462
25,0.961219536792833,0.939923051371335,0.975308719095516
26,0.962260927616606,0.941870628940667,0.976023885413965
27,0.966241328567525,0.946242628556289,0.979245921159243
28,0.970476811854988,0.950897039706094,0.981559151094596
29,0.972118104845036,0.951786152433002,0.982168642283483
30,0.979155807833611,0.961007156773161,0.98741750509084
31,0.98004693830461,0.963346820207301,0.987780461467372
32,0.984836233887947,0.96712756570793,0.995290000317429
33,0.987929162645517,0.970363413201817,0.99583160752467
34,0.988829712526507,0.97176495127017,0.996416580646732
35,0.989489396523652,0.972359703159807,0.9967268020556
36,0.993360695746035,0.977010071942355,0.998632565503916
37,0.995273119759267,0.985840799906966,0.998654644469268
38,0.997683433357763,0.991763691174952,0.999809967673963
39,1,1,1
