"estimate","lower","upper","onset_date","n.reported"
444,444,444,2020-04-04,444
434,433,438,2020-04-05,433
477,475,482,2020-04-06,475
448,444,454,2020-04-07,443
477,473,485,2020-04-08,471
471,466,479,2020-04-09,464
613,606,625,2020-04-10,602
436,430,446,2020-04-11,426
496,489,507,2020-04-12,484
541,533,553,2020-04-13,525
515,507,529,2020-04-14,498
636,626,651,2020-04-15,613
562,552,577,2020-04-16,539
626,615,642,2020-04-17,598
642,630,658,2020-04-18,609
577,564,593,2020-04-19,543
875,859,896,2020-04-20,821
597,583,614,2020-04-21,553
661,645,680,2020-04-22,608
675,659,695,2020-04-23,615
699,681,721,2020-04-24,629
745,725,768,2020-04-25,662
631,612,653,2020-04-26,550
729,707,754,2020-04-27,625
619,596,644,2020-04-28,515
591,567,618,2020-04-29,475
734,705,766,2020-04-30,569
974,937,1014,2020-05-01,733
661,628,697,2020-05-02,464
666,631,706,2020-05-03,438
741,698,789,2020-05-04,449
792,741,846,2020-05-05,432
687,633.975,746,2020-05-06,313
754,692,825,2020-05-07,290
780,707,860,2020-05-08,250
750,669,842.025,2020-05-09,179
969,859,1096,2020-05-10,176
1112,958,1275,2020-05-11,132
1079,881,1309,2020-05-12,59
1097,790.975,1529.025,2020-05-13,12
