"estimate","lower","upper","onset_date","n.reported"
77,77,77,2020-03-31,77
85,85,85,2020-04-01,85
90,90,90,2020-04-02,90
85,85,85,2020-04-03,85
105,105,105,2020-04-04,105
97,97,97,2020-04-05,97
106,106,106,2020-04-06,106
121,121,121,2020-04-07,121
85,85,85,2020-04-08,85
68,68,68,2020-04-09,68
89,89,89,2020-04-10,89
79,79,79,2020-04-11,79
86,85,89,2020-04-12,85
103,101,108,2020-04-13,101
78,75,83,2020-04-14,75
95,91,100,2020-04-15,90
86,82,93,2020-04-16,80
108,102,115,2020-04-17,99
106,99,114,2020-04-18,95
99,92,108,2020-04-19,86
107,100,117,2020-04-20,92
92,83,102,2020-04-21,74
109,100,120,2020-04-22,87
136,125,149,2020-04-23,109
110,99,123,2020-04-24,82
101,90,114,2020-04-25,71
125,113,139,2020-04-26,90
127,114,143,2020-04-27,86
147,132,165,2020-04-28,97
164,148,183,2020-04-29,107
133,117,153,2020-04-30,75
144,126,164,2020-05-01,79
145,127,167,2020-05-02,73
167,146,192,2020-05-03,82
166,143,194,2020-05-04,71
194,167,224,2020-05-05,83
171,144,203,2020-05-06,55
206,175,242,2020-05-07,73
187,156,225,2020-05-08,50
157,119,201,2020-05-09,15
