"atraso","mean","lower","upper"
0,0.264173439448341,0.22341193744344,0.30521997840011
1,0.491364233267922,0.442880303002805,0.539641035465703
2,0.605315954546418,0.554261648212896,0.653756063258841
3,0.693119879765614,0.641673791863765,0.739594934695601
4,0.736953285330203,0.687269615008943,0.778924104867553
5,0.776059731370874,0.730292931637896,0.814571636270985
6,0.804829032668639,0.760891584492575,0.840652551640632
7,0.832730424670326,0.790283531104854,0.8686612216699
8,0.862572028861853,0.822663197930824,0.898865291185998
9,0.883644506843712,0.8468878175731,0.918446019050323
10,0.890795983203693,0.854615310130193,0.927000559182733
11,0.912736634035657,0.878560629230576,0.945091580999221
12,0.921474918191827,0.887218954432306,0.951597739027299
13,0.925976083559038,0.89267027156215,0.954565110682239
14,0.928232551977245,0.895088012490107,0.955859765839151
15,0.942727359466478,0.908115259779393,0.968853873396285
16,0.957707418393501,0.922949327336582,0.978801501349318
17,0.968447536304654,0.94272185390377,0.986542456631903
18,0.976287493823912,0.951260400065953,0.991945732060217
19,0.979469398875463,0.953031641524195,0.993594745102586
20,0.979694592823447,0.953032082175403,0.993992418297905
21,0.984558899274337,0.957943505158402,0.996043104620184
22,0.985323775423862,0.961108745608548,0.996065551932153
23,0.985338317261365,0.961153942747642,0.996069268318721
24,0.989631532086847,0.962129966346992,0.999966547558494
25,0.989633000523324,0.962130267691318,0.999967490127006
26,0.993693336909725,0.970096983600021,0.99999529371464
27,0.994565850591423,0.971045663924111,0.999996200305779
28,0.994565855983665,0.971045663955039,0.999996247410818
29,0.99805622475216,0.975099125574582,0.999999899848467
30,0.99837705223103,0.978102574865265,0.999999998900155
31,0.998380360277939,0.978106718003938,0.999999999141659
32,0.998380362580693,0.978106718250016,0.999999999952849
33,0.99838036258085,0.978106718251302,0.999999999952849
34,0.998380362680441,0.978106720092707,0.999999999979071
35,0.998380362680442,0.978106720092707,0.999999999979071
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
