"dt_sin_pri","n.casos"
2020-02-17,1
2020-02-19,1
2020-02-20,4
2020-02-22,3
2020-02-23,1
2020-02-24,3
2020-02-26,1
2020-02-27,1
2020-02-28,4
2020-02-29,1
2020-03-01,18
2020-03-02,12
2020-03-03,16
2020-03-04,12
2020-03-05,11
2020-03-06,24
2020-03-07,26
2020-03-08,35
2020-03-09,54
2020-03-10,71
2020-03-11,93
2020-03-12,112
2020-03-13,123
2020-03-14,172
2020-03-15,198
2020-03-16,257
2020-03-17,231
2020-03-18,267
2020-03-19,290
2020-03-20,397
2020-03-21,336
2020-03-22,357
2020-03-23,478
2020-03-24,426
2020-03-25,409
2020-03-26,452
2020-03-27,400
2020-03-28,376
2020-03-29,387
2020-03-30,419
2020-03-31,372
2020-04-01,505
2020-04-02,387
2020-04-03,385
2020-04-04,374
2020-04-05,401
2020-04-06,418
2020-04-07,388
2020-04-08,430
2020-04-09,425
2020-04-10,574
2020-04-11,421
2020-04-12,481
2020-04-13,525
2020-04-14,537
2020-04-15,631
2020-04-16,542
2020-04-17,629
2020-04-18,720
2020-04-19,617
2020-04-20,913
2020-04-21,601
2020-04-22,673
2020-04-23,663
2020-04-24,692
2020-04-25,755
2020-04-26,640
2020-04-27,727
2020-04-28,663
2020-04-29,596
2020-04-30,808
2020-05-01,1122
2020-05-02,749
2020-05-03,789
2020-05-04,865
2020-05-05,858
2020-05-06,709
2020-05-07,805
2020-05-08,829
2020-05-09,806
2020-05-10,1125
2020-05-11,878
2020-05-12,853
2020-05-13,840
2020-05-14,843
2020-05-15,1023
2020-05-16,924
2020-05-17,885
2020-05-18,963
2020-05-19,777
2020-05-20,1106
2020-05-21,817
2020-05-22,806
2020-05-23,706
2020-05-24,722
2020-05-25,957
2020-05-26,784
2020-05-27,742
2020-05-28,843
2020-05-29,734
2020-05-30,820
2020-05-31,798
2020-06-01,1310
2020-06-02,853
2020-06-03,799
2020-06-04,805
2020-06-05,897
2020-06-06,816
2020-06-07,813
2020-06-08,938
2020-06-09,830
2020-06-10,1040
2020-06-11,812
2020-06-12,846
2020-06-13,742
2020-06-14,770
2020-06-15,886
2020-06-16,737
2020-06-17,774
2020-06-18,844
2020-06-19,779
2020-06-20,1028
2020-06-21,714
2020-06-22,845
2020-06-23,667
2020-06-24,701
2020-06-25,882
2020-06-26,845
2020-06-27,718
2020-06-28,740
2020-06-29,749
2020-06-30,835
2020-07-01,1237
2020-07-02,903
2020-07-03,923
2020-07-04,843
2020-07-05,846
2020-07-06,919
2020-07-07,856
2020-07-08,820
2020-07-09,810
2020-07-10,1124
2020-07-11,759
2020-07-12,743
2020-07-13,831
2020-07-14,733
2020-07-15,828
2020-07-16,720
2020-07-17,777
2020-07-18,660
2020-07-19,654
2020-07-20,922
2020-07-21,617
2020-07-22,594
2020-07-23,605
2020-07-24,600
2020-07-25,661
2020-07-26,592
2020-07-27,667
2020-07-28,544
2020-07-29,484
2020-07-30,519
2020-07-31,540
2020-08-01,688
2020-08-02,491
2020-08-03,500
2020-08-04,433
2020-08-05,408
2020-08-06,426
2020-08-07,410
2020-08-08,370
2020-08-09,301
2020-08-10,398
2020-08-11,243
2020-08-12,225
2020-08-13,199
2020-08-14,190
2020-08-15,141
2020-08-16,75
2020-08-17,75
2020-08-18,48
2020-08-19,49
2020-08-20,19
2020-08-21,10
2020-08-22,3
2020-08-23,2
