"atraso","mean","lower","upper"
0,0.255567872216705,0.243456175270926,0.266710396956692
1,0.481445408456831,0.467758933270397,0.497273181140957
2,0.600078322004069,0.585913352442041,0.61333498410662
3,0.682003518739885,0.666468222657644,0.696210674455231
4,0.738176908938518,0.724317421447287,0.751572433388328
5,0.784041283890504,0.769096989722498,0.797733476697942
6,0.814210662728523,0.800621928562727,0.829657435193809
7,0.840352849021445,0.826816529938579,0.854451316460626
8,0.860108522724174,0.847702382921776,0.873854136948288
9,0.87934144399701,0.867888708017175,0.892327539108822
10,0.891223788136506,0.879125301056605,0.903774635324791
11,0.905665628120003,0.893754219178893,0.916213479199477
12,0.915317865561471,0.904162443367869,0.923919214149925
13,0.925107714943278,0.912979526942318,0.933532745061438
14,0.934517436108765,0.919757778103861,0.943412354429155
15,0.942757332598174,0.927814586099551,0.951294661752554
16,0.95049045005178,0.934400036756665,0.960553276835607
17,0.956211613648004,0.940395519399401,0.966413301795101
18,0.963387989013287,0.946808569904772,0.973662335105603
19,0.969529158897694,0.952594049410538,0.97950036016695
20,0.973572748256575,0.957074551789329,0.982983739371605
21,0.978624043807328,0.96423317942389,0.99050549946278
22,0.983988846195101,0.968926293856117,0.993775658076693
23,0.987487757098156,0.975623304835511,0.995790498451151
24,0.989897134417546,0.980441476668946,0.995906746175229
25,0.993616399112831,0.984147592713907,0.998528347907362
26,0.996859663802762,0.99212204228158,0.999692273246699
27,0.999164824331323,0.995364593724509,0.999998182544152
28,0.99951591950585,0.996161392433365,0.999999771083613
29,0.999524419513657,0.996214921855314,0.999999831579087
30,0.999947555979613,0.999469416877415,0.999999937341163
31,0.999999976608025,0.999999896030756,0.999999998279975
32,0.999999996152542,0.999999989411088,0.999999999507342
33,0.999999996195381,0.999999989598714,0.999999999517685
34,0.999999998678567,0.999999996976035,0.999999999740282
35,0.999999999999975,0.999999999999939,0.99999999999999
36,0.999999999999996,0.999999999999987,1
37,0.999999999999999,0.999999999999999,1
38,1,0.999999999999999,1
39,1,0.999999999999999,1
